'Na22','Co60','Ba133','Cs137'
'calib','calib','calib','calib'
121,647,34,10
147,686,20,15
137,671,27,15
123,630,26,8
132,644,24,15
124,652,25,16
128,594,20,9
141,631,16,8
140,640,21,18
125,651,33,12
141,572,23,15
124,601,19,11
131,563,17,10
125,587,27,8
123,585,38,11
110,597,27,17
107,604,30,13
112,585,36,11
127,600,22,7
112,582,25,6
100,553,26,14
93,581,24,19
101,617,31,12
102,580,20,13
95,581,26,11
94,565,27,13
89,552,24,11
85,513,26,12
88,546,22,12
80,563,21,14
80,557,30,12
94,554,25,9
90,510,27,11
76,526,21,8
87,527,26,18
84,551,24,11
68,486,23,10
86,482,26,11
78,486,19,14
68,486,26,16
67,504,25,15
69,460,24,12
64,530,32,10
61,488,26,9
53,529,22,12
73,623,20,7
51,567,27,14
47,594,26,15
56,675,20,7
72,718,16,14
58,766,19,8
55,818,29,5
41,939,20,8
53,1002,20,15
62,1020,13,7
51,1120,27,10
67,1205,24,9
53,1287,24,8
51,1448,21,5
56,1411,21,15
52,1510,24,12
38,1519,20,12
56,1588,30,7
43,1703,21,9
41,1716,19,12
58,1679,21,6
56,1679,21,10
60,1668,20,15
71,1680,11,14
62,1613,21,11
59,1568,22,9
72,1527,21,10
105,1533,19,9
102,1557,16,10
109,1490,20,13
130,1415,24,3
126,1354,13,9
123,1295,23,12
152,1170,13,10
180,1145,14,13
185,1101,13,5
181,1094,20,7
214,1094,18,14
220,1062,16,3
259,980,13,3
294,935,26,5
308,978,13,4
313,938,14,6
321,912,7,6
305,867,22,4
332,826,16,6
349,866,18,5
336,880,20,2
336,897,11,7
329,895,12,8
317,958,16,3
316,936,16,5
332,1051,19,7
313,1001,14,2
284,1074,11,10
311,1101,15,7
326,1124,15,8
304,1271,12,9
252,1239,17,5
273,1344,15,4
234,1339,13,5
215,1382,11,6
234,1457,6,5
222,1480,15,8
208,1483,15,2
192,1501,10,4
221,1470,16,6
167,1510,11,9
180,1491,15,9
153,1480,14,11
171,1450,17,6
137,1399,7,2
132,1379,14,10
148,1370,18,7
135,1340,12,9
130,1299,13,8
134,1197,16,4
120,1127,14,6
123,1178,10,11
117,1047,13,2
113,1056,14,5
88,997,20,14
91,974,19,3
92,917,25,11
96,789,15,6
95,879,9,6
96,775,8,4
79,800,20,4
66,676,15,10
80,735,17,9
67,658,16,8
65,620,16,2
86,611,13,9
77,602,22,8
54,519,27,4
65,516,20,4
79,496,17,5
66,465,17,7
76,425,23,7
50,436,29,4
52,459,19,13
57,397,17,6
58,372,23,10
53,358,11,7
49,345,18,12
47,320,12,7
51,352,18,6
53,296,19,10
51,291,16,8
41,293,20,7
47,265,20,6
32,266,22,10
28,261,15,8
49,229,19,2
37,220,23,11
40,247,21,10
25,206,14,2
30,187,16,9
41,181,15,9
39,193,26,2
24,188,13,6
33,149,15,7
31,157,13,6
21,129,15,9
18,132,15,6
23,146,17,4
18,116,17,9
26,109,14,5
23,113,20,6
20,90,16,6
27,90,12,3
25,94,20,7
21,83,12,4
27,86,14,6
23,72,12,4
13,72,16,5
17,74,11,4
22,52,9,4
16,73,7,5
21,58,12,2
23,41,10,3
16,70,11,7
17,38,5,5
20,44,15,2
12,32,14,2
20,35,10,1
13,32,7,3
21,43,12,5
17,37,9,1
26,27,14,5
19,38,6,2
14,31,9,5
13,30,12,3
18,31,11,9
18,24,10,4
13,19,10,4
13,36,5,3
7,29,12,4
16,27,10,3
13,24,10,3
12,18,12,6
12,27,22,4
14,33,7,3
18,28,9,7
15,39,5,1
12,26,5,4
11,22,11,2
9,29,7,4
6,27,11,5
13,26,5,3
20,33,7,0
9,27,5,4
9,20,4,3
5,21,6,5
6,31,9,1
11,20,10,4
14,21,2,2
13,27,8,4
5,21,5,1
11,18,9,2
14,24,8,2
10,16,3,1
9,24,9,4
20,25,9,1
8,17,4,3
15,12,7,1
16,27,13,0
14,27,8,3
22,16,4,0
17,23,6,1
16,15,6,2
13,14,5,0
9,14,7,2
15,16,6,5
26,20,5,2
12,14,9,1
17,19,4,3
15,23,7,2
20,24,4,0
15,15,8,3
13,26,3,0
18,19,5,2
23,15,7,2
13,17,14,0
17,23,6,0
21,19,4,1
13,20,5,3
12,18,7,0
16,17,6,1
11,22,4,1
17,13,4,1
8,17,7,2
17,22,4,2
9,21,11,3
10,18,6,2
13,24,2,0
16,14,3,2
14,21,7,4
11,15,5,1
11,5,1,1
14,9,2,0
10,16,7,0
9,11,4,0
13,16,4,3
4,19,4,0
9,13,5,3
10,21,7,1
6,11,5,1
