X,CH1,CH2,Start,Increment,
Sequence,Volt,Volt,-1.200000e-05,5.000000e-07
0,2.40e-01,2.00e-01,
1,0.00e+00,-2.00e-01,
2,8.00e-02,2.00e-01,
3,2.40e-01,-2.00e-01,
4,2.40e-01,2.00e-01,
5,0.00e+00,-2.00e-01,
6,2.40e-01,2.00e-01,
7,0.00e+00,0.00e+00,
8,0.00e+00,2.00e-01,
9,2.40e-01,-2.00e-01,
10,8.00e-02,2.00e-01,
11,2.40e-01,-2.00e-01,
12,8.00e-02,-2.00e-01,
13,2.40e-01,2.00e-01,
14,2.40e-01,2.00e-01,
15,0.00e+00,-2.00e-01,
16,0.00e+00,2.00e-01,
17,2.40e-01,-2.00e-01,
18,2.40e-01,2.00e-01,
19,0.00e+00,-2.00e-01,
20,0.00e+00,2.00e-01,
21,2.40e-01,-2.00e-01,
22,0.00e+00,2.00e-01,
23,2.40e-01,-2.00e-01,
24,2.40e-01,2.00e-01,
25,0.00e+00,-4.00e-01,
26,2.40e-01,0.00e+00,
27,0.00e+00,-4.00e-01,
28,2.40e-01,2.00e-01,
29,8.00e-02,-9.20e+00,
30,2.40e-01,-9.60e+00,
31,0.00e+00,-1.40e+01,
32,2.40e-01,-1.44e+01,
33,0.00e+00,-1.30e+01,
34,0.00e+00,-1.32e+01,
35,1.60e-01,-4.20e+00,
36,1.60e-01,-4.20e+00,
37,0.00e+00,8.00e-01,
38,1.60e-01,6.00e-01,
39,0.00e+00,2.00e+00,
40,1.60e-01,1.80e+00,
41,-8.00e-02,2.60e+00,
42,0.00e+00,2.80e+00,
43,1.60e-01,2.00e+00,
44,1.60e-01,2.00e+00,
45,-8.00e-02,6.00e-01,
46,-8.00e-02,6.00e-01,
47,1.60e-01,-4.00e-01,
48,-8.00e-02,-4.00e-01,
49,1.60e-01,2.00e-01,
50,8.00e-02,2.00e-01,
51,-8.00e-02,1.00e+00,
52,-8.00e-02,1.20e+00,
53,8.00e-02,8.00e-01,
54,8.00e-02,1.00e+00,
55,-8.00e-02,0.00e+00,
56,8.00e-02,2.00e-01,
57,-8.00e-02,-2.00e-01,
58,8.00e-02,-2.00e-01,
59,-1.60e-01,2.00e-01,
60,8.00e-02,2.00e-01,
61,-1.60e-01,-2.00e-01,
62,-8.00e-02,0.00e+00,
63,1.60e-01,4.00e-01,
64,0.00e+00,2.00e-01,
65,2.40e-01,1.00e+00,
66,8.00e-02,8.00e-01,
67,3.20e-01,2.00e+00,
68,2.40e-01,1.80e+00,
69,6.40e-01,2.80e+00,
70,4.80e-01,2.60e+00,
71,8.80e-01,3.40e+00,
72,8.80e-01,3.00e+00,
73,1.20e+00,3.80e+00,
74,1.20e+00,3.60e+00,
75,1.68e+00,4.20e+00,
76,1.60e+00,4.00e+00,
77,2.16e+00,4.60e+00,
78,2.00e+00,4.40e+00,
79,2.56e+00,5.00e+00,
80,2.48e+00,4.80e+00,
81,2.96e+00,5.40e+00,
82,2.88e+00,5.20e+00,
83,3.44e+00,5.40e+00,
84,3.36e+00,5.20e+00,
85,3.84e+00,5.60e+00,
86,3.84e+00,5.40e+00,
87,4.40e+00,5.60e+00,
88,4.32e+00,5.60e+00,
89,4.80e+00,5.40e+00,
90,4.72e+00,5.40e+00,
91,5.28e+00,5.60e+00,
92,5.20e+00,5.40e+00,
93,5.68e+00,5.60e+00,
94,5.60e+00,5.40e+00,
95,6.08e+00,5.80e+00,
96,6.08e+00,5.40e+00,
97,6.56e+00,5.80e+00,
98,6.48e+00,5.80e+00,
99,6.88e+00,5.40e+00,
100,6.88e+00,5.40e+00,
101,7.28e+00,5.80e+00,
102,7.28e+00,5.40e+00,
103,7.68e+00,5.80e+00,
104,7.60e+00,5.40e+00,
105,8.00e+00,5.80e+00,
106,7.92e+00,5.40e+00,
107,8.24e+00,5.80e+00,
108,8.24e+00,5.80e+00,
109,8.56e+00,5.40e+00,
110,8.48e+00,5.40e+00,
111,8.80e+00,5.80e+00,
112,8.72e+00,5.40e+00,
113,8.96e+00,5.80e+00,
114,8.96e+00,5.40e+00,
115,9.20e+00,5.80e+00,
116,9.12e+00,5.40e+00,
117,9.44e+00,5.80e+00,
118,9.28e+00,5.80e+00,
119,9.52e+00,5.40e+00,
120,9.44e+00,5.40e+00,
121,9.68e+00,5.80e+00,
122,9.60e+00,5.40e+00,
123,9.84e+00,5.80e+00,
124,9.68e+00,5.80e+00,
125,9.92e+00,5.40e+00,
126,9.84e+00,5.80e+00,
127,1.00e+01,5.40e+00,
128,9.92e+00,5.40e+00,
129,1.01e+01,5.80e+00,
130,9.92e+00,5.40e+00,
131,1.02e+01,5.80e+00,
132,1.00e+01,5.40e+00,
133,1.02e+01,5.80e+00,
134,1.02e+01,5.40e+00,
135,1.01e+01,5.80e+00,
136,1.02e+01,5.40e+00,
137,1.03e+01,5.80e+00,
138,1.02e+01,5.40e+00,
139,1.04e+01,5.80e+00,
140,1.02e+01,5.40e+00,
141,1.04e+01,5.80e+00,
142,1.02e+01,5.40e+00,
143,1.04e+01,5.80e+00,
144,1.05e+01,5.40e+00,
145,1.02e+01,5.80e+00,
146,1.03e+01,5.40e+00,
147,1.05e+01,5.80e+00,
148,1.03e+01,5.40e+00,
149,1.06e+01,5.80e+00,
150,1.04e+01,5.80e+00,
151,1.06e+01,5.40e+00,
152,1.06e+01,5.40e+00,
153,1.04e+01,5.80e+00,
154,1.04e+01,5.40e+00,
155,1.06e+01,5.80e+00,
156,1.06e+01,5.40e+00,
157,1.04e+01,5.80e+00,
158,1.06e+01,5.40e+00,
