'Pb','Fe','In','Brass','Nb','Au','V','Ag','Zn','Zr','Ti','Rh','Ni','W','U','Cu'
'Feb1','Jan30','Feb1','Feb6','Feb1','Feb15','Feb6','Feb15','Jan30','Feb1', 'Feb1','Feb15','Feb15','Feb15','Jan30','Jan30'
50,2,6,162,25,47,2,12,69,12,0,26,19,359,2,130
36,2,4,127,36,41,2,12,53,22,1,32,31,420,0,73
60,1,3,88,27,32,4,7,60,16,1,26,20,600,3,52
32,1,5,81,29,37,2,14,45,23,3,36,18,773,0,32
42,5,3,74,27,32,3,6,55,17,0,21,19,1080,2,23
41,3,3,71,38,37,5,7,46,23,2,23,15,1341,0,20
42,4,4,58,36,38,0,9,51,16,0,19,19,1750,1,15
32,4,8,70,38,32,1,11,48,12,1,23,26,2099,1,11
53,1,5,85,26,38,2,9,49,21,3,20,23,2313,0,13
51,0,3,111,21,40,3,8,44,10,1,15,21,2513,3,17
49,1,2,125,39,28,0,8,40,15,0,19,16,2560,1,17
41,2,4,184,31,38,2,7,57,17,4,12,15,2215,1,8
48,1,7,208,26,44,3,9,66,14,2,20,16,1972,0,20
59,6,2,248,28,32,1,5,75,16,2,6,18,1672,1,11
66,5,2,292,25,37,1,9,109,19,0,9,22,1272,3,11
58,5,3,297,30,45,3,9,144,10,0,12,21,940,2,19
72,3,4,281,25,43,1,7,215,15,2,19,17,632,0,15
75,3,3,248,30,40,3,12,292,21,4,22,18,455,2,8
70,0,1,240,28,34,0,10,347,15,0,10,21,261,2,7
71,2,3,226,24,52,0,11,502,21,2,12,21,206,0,8
88,7,3,154,25,51,1,8,574,18,1,14,20,183,3,10
85,4,4,114,27,56,1,6,598,20,2,9,18,148,1,10
88,1,4,95,28,63,1,6,640,13,1,12,17,145,0,17
114,7,7,65,34,86,0,8,579,23,2,13,22,135,2,10
119,1,5,43,23,104,3,11,523,26,1,16,14,114,2,12
129,5,3,36,27,140,4,10,448,17,4,19,22,136,0,10
218,1,7,33,36,196,4,13,301,18,2,11,18,157,2,12
265,7,6,39,28,278,4,10,213,23,1,15,25,167,3,12
370,5,3,31,21,397,5,7,116,18,1,15,21,179,2,12
563,6,2,36,15,596,5,9,76,23,1,14,21,275,1,12
812,1,1,35,23,797,7,4,54,19,1,18,19,310,0,8
1134,1,7,31,27,1024,10,6,32,18,3,15,24,377,0,5
1633,2,7,23,23,1308,8,12,33,21,5,16,19,420,2,15
2208,0,8,33,21,1517,12,12,19,19,4,12,14,483,1,11
2728,6,14,29,24,1758,11,10,18,24,6,12,22,523,2,18
3347,2,7,28,22,1854,8,8,13,22,6,22,24,559,1,11
3508,1,7,26,23,1875,9,8,11,17,6,16,15,566,1,15
3482,2,5,37,22,1759,8,12,19,15,5,19,18,567,1,12
3298,1,12,24,24,1642,3,7,10,18,8,15,17,535,0,11
2776,1,10,34,16,1443,4,9,8,16,13,21,23,456,1,18
2175,1,8,30,28,1206,2,9,14,22,14,10,18,439,1,11
1517,3,6,28,17,958,2,5,9,16,6,19,22,393,1,11
945,7,6,37,31,772,0,6,13,22,14,16,8,382,1,14
559,1,6,27,35,537,0,11,12,17,11,14,27,437,3,5
351,2,5,39,37,467,0,7,13,25,7,15,16,430,0,11
192,2,7,21,29,328,1,6,9,22,5,17,16,407,1,11
129,1,8,36,36,253,1,11,7,16,5,16,5,365,5,10
103,5,4,29,31,175,0,7,12,17,5,12,17,409,7,14
77,2,1,41,27,123,1,10,6,22,4,13,15,404,4,10
57,2,8,30,34,99,0,11,11,21,4,9,18,453,2,16
53,5,2,32,35,80,0,5,8,35,1,22,21,508,7,11
63,2,4,23,38,56,2,10,9,22,2,23,13,612,6,8
49,0,5,38,28,65,1,7,12,28,1,19,11,697,8,9
53,2,4,28,34,42,0,4,12,17,0,13,17,882,11,9
48,7,14,24,30,44,2,10,13,29,3,25,16,1087,12,9
64,2,13,36,33,65,1,11,6,29,2,23,14,1297,5,12
52,2,5,24,32,53,2,10,6,35,3,27,13,1483,4,4
58,3,2,32,35,50,0,4,11,17,2,20,19,1656,3,15
75,2,8,26,24,53,0,12,10,26,0,17,26,1820,3,10
74,4,4,27,31,56,2,9,10,22,1,29,9,1857,3,12
70,1,6,26,25,51,2,9,11,23,3,21,26,1904,2,11
84,3,6,25,23,49,0,8,8,15,3,24,35,1728,6,8
100,5,6,35,30,56,0,9,7,20,3,19,19,1727,2,10
89,3,7,22,20,39,0,10,11,18,3,18,33,1543,0,9
91,6,3,25,20,42,1,10,7,18,3,15,31,1351,4,16
92,2,5,26,19,42,2,19,7,20,1,12,24,1118,1,12
90,7,2,29,19,29,1,16,7,15,2,25,19,1016,0,10
77,7,7,25,24,35,0,19,8,27,1,21,21,930,3,8
54,7,3,20,24,33,1,18,5,34,1,18,17,789,1,10
54,4,12,35,29,39,2,17,8,18,0,21,23,769,1,9
40,3,3,26,29,44,1,14,8,18,13,23,21,666,0,8
42,1,9,23,25,26,1,11,6,23,1,16,18,557,1,13
44,5,6,32,25,23,3,12,14,22,4,17,15,552,2,10
54,4,3,27,22,33,2,14,6,14,0,25,23,456,2,7
42,6,3,26,20,40,2,13,8,26,1,22,14,405,1,14
45,8,9,27,28,31,2,16,9,20,2,18,19,308,0,9
58,5,11,27,30,37,1,18,6,15,1,18,14,250,1,13
44,6,5,30,23,41,3,9,14,19,1,15,20,199,1,15
53,3,2,37,24,48,0,12,9,19,4,22,22,143,3,6
48,2,9,26,31,55,2,12,11,19,1,22,20,99,4,10
51,1,6,36,41,40,2,10,11,18,2,9,30,74,3,13
52,3,2,36,38,53,2,10,15,15,1,15,27,63,4,8
61,5,4,34,29,58,2,18,11,16,5,10,20,60,0,8
57,4,9,36,39,66,3,8,9,18,1,14,23,49,6,13
96,4,6,28,26,89,2,11,11,19,3,19,12,42,3,11
83,5,6,34,31,114,3,7,8,23,4,13,18,45,3,13
97,1,4,22,28,163,3,8,5,25,4,14,16,49,6,5
107,3,1,30,30,166,5,6,10,25,9,12,20,37,0,12
134,0,5,36,19,203,2,11,9,25,3,17,22,49,0,14
142,1,2,30,29,237,2,7,6,23,3,11,22,41,6,13
186,3,1,31,17,289,0,7,5,26,4,20,22,50,6,6
212,1,6,33,27,306,1,14,6,20,2,20,18,60,4,13
262,1,4,31,25,388,6,7,4,15,8,16,36,53,9,9
304,4,6,28,38,522,1,7,8,17,2,14,31,81,6,8
296,1,4,38,23,634,7,9,8,18,5,15,34,91,3,12
351,5,5,32,24,757,3,12,6,20,3,17,26,78,2,5
358,0,5,29,29,909,1,10,13,29,8,13,26,72,5,13
436,1,8,38,20,1041,12,9,7,19,4,15,18,61,5,13
