'Pb','Fe','In','Brass','Nb','Au','V','Ag','Zn','Zr','Ti','Rh','Ni','W','U','Cu'
'Feb1','Jan30','Feb1','Feb6','Feb1','Feb15','Feb6','Feb15','Jan30','Feb1', 'Feb1','Feb15','Feb15','Feb15','Jan30','Jan30'
18,5,33,5,513,13,5,52,9,21,9,313,16,10,6,1
20,2,44,5,750,15,6,72,4,15,11,264,19,13,4,1
10,2,40,10,933,14,4,58,12,24,6,267,11,13,5,1
22,4,44,8,982,19,2,72,17,22,7,286,14,17,8,1
15,4,48,7,874,17,5,55,12,23,13,300,13,14,12,2
19,2,48,12,749,15,4,72,7,24,6,303,10,12,10,2
22,5,54,8,538,22,5,80,4,18,13,279,12,14,3,3
11,4,49,8,364,22,5,69,10,16,6,301,7,15,17,1
18,6,55,12,279,19,2,74,3,26,12,291,6,14,9,2
17,6,47,14,236,22,7,98,4,14,13,298,7,18,11,3
16,10,48,12,214,20,3,114,1,19,8,272,9,11,12,2
24,6,46,10,177,22,9,96,1,21,10,338,5,18,8,1
26,7,48,4,147,26,1,96,5,18,6,364,3,12,13,1
14,5,60,14,108,16,5,106,5,16,12,356,4,12,10,2
21,5,60,10,97,24,4,77,4,17,8,371,8,14,10,5
24,2,66,5,76,16,4,104,5,17,7,387,8,16,12,0
16,7,69,7,82,10,8,66,4,17,10,332,3,14,11,2
20,4,90,6,67,10,2,74,3,18,9,342,3,12,15,4
21,5,101,5,48,14,4,68,7,16,5,388,11,13,5,4
9,3,172,4,43,20,4,62,3,15,8,396,6,8,13,4
12,5,265,5,43,16,4,43,7,14,10,454,6,16,7,1
11,1,387,10,44,10,10,47,3,19,8,488,2,11,3,1
9,1,573,7,32,22,7,31,3,19,7,532,2,20,1,6
8,5,774,2,26,16,6,32,1,16,9,524,5,11,10,3
7,7,870,7,31,11,5,25,3,16,3,466,5,7,7,3
7,2,1076,7,38,9,4,23,4,21,7,440,7,9,4,1
8,2,1074,2,51,11,14,29,4,20,4,441,3,13,6,1
11,7,1210,4,31,7,11,28,7,21,8,382,4,10,9,1
14,3,1126,3,34,10,8,33,5,20,10,325,11,11,7,1
7,10,876,12,26,12,11,29,1,15,8,257,6,18,4,0
18,1,671,3,44,15,16,30,3,17,5,242,4,17,5,3
14,4,606,2,32,7,22,40,4,20,7,234,3,16,5,2
14,5,497,10,33,10,30,28,2,16,10,203,3,11,5,1
11,3,287,7,24,8,38,41,4,4,4,185,2,12,3,3
14,2,108,9,34,4,1,46,5,21,9,198,5,21,2,3
12,2,74,6,29,6,0,42,7,10,5,180,9,11,6,2
15,2,191,5,32,13,0,30,4,11,3,222,3,15,6,1
15,3,160,5,28,11,0,42,2,22,11,180,6,24,4,2
10,1,429,4,29,8,0,42,7,25,5,170,3,9,6,0
8,6,396,6,34,13,0,33,4,15,5,212,7,14,7,1
8,2,239,7,25,5,0,38,3,18,7,210,4,16,7,1
16,3,258,6,27,6,0,37,5,24,7,184,9,11,5,1
133,5,1001,8,35,18,0,41,4,20,6,218,6,21,3,2
59,2,103,9,29,15,0,39,1,19,9,225,6,16,5,3
2,3,56,3,22,10,0,30,5,17,14,259,9,12,4,2
6,1,138,7,16,12,0,37,5,23,10,230,7,11,6,3
0,2,430,9,25,8,0,38,2,13,5,186,8,11,4,2
2,1,28,3,25,11,0,28,4,17,8,195,7,17,6,2
1,1,32,3,15,8,0,27,3,15,23,201,12,14,4,4
0,3,36,6,36,17,0,31,4,21,20,208,10,8,9,1
0,3,20,3,27,8,0,43,4,12,22,204,11,20,3,2
0,3,22,2,22,8,0,37,4,8,12,175,10,8,11,2
0,1,36,4,28,14,0,37,3,16,11,185,11,15,5,3
0,0,29,8,24,11,0,41,4,23,12,194,9,7,4,0
0,2,94,1,29,9,0,39,5,23,11,182,7,10,2,1
0,3,76,7,22,8,0,52,1,17,10,159,14,12,3,0
0,3,49,6,29,17,0,35,1,13,10,136,8,16,3,2
0,2,30,6,23,12,0,39,4,19,24,162,7,10,5,1
0,4,13,7,20,17,0,48,5,21,21,162,5,15,8,0
0,1,6,8,17,9,0,61,2,22,16,130,7,10,4,2
0,0,16,5,32,8,0,41,4,20,15,140,13,15,4,1
0,3,9,6,23,8,0,46,3,21,2,119,6,14,2,3
0,4,14,3,28,13,0,49,1,17,4,132,3,18,3,2
0,2,7,5,30,16,0,56,1,19,4,129,8,19,3,0
0,2,12,15,36,14,0,51,1,20,7,119,6,11,5,0
0,5,8,2,28,10,0,55,2,25,4,99,4,20,4,0
0,2,5,5,28,11,0,69,1,15,3,100,8,17,8,1
0,3,8,6,25,15,0,55,6,16,4,87,3,13,4,1
0,1,27,6,38,8,0,49,2,15,5,103,6,17,4,3
0,2,12,7,92,15,0,62,5,29,4,108,3,10,7,1
0,7,7,4,63,7,0,65,2,16,2,94,3,6,0,2
0,3,8,4,79,9,0,54,4,14,0,79,3,15,3,2
0,4,10,4,95,4,0,58,2,24,0,102,3,13,5,0
0,1,8,3,80,13,0,51,2,25,3,114,2,2,3,5
0,2,14,3,76,10,0,65,2,18,4,161,5,11,5,1
0,2,3,5,65,6,0,55,3,18,6,211,5,6,7,2
0,2,18,5,50,15,0,63,2,12,3,264,7,8,4,3
0,2,7,3,91,13,0,58,0,23,3,268,9,8,0,3
0,3,6,1,79,4,0,65,0,24,1,323,6,15,7,3
0,1,6,4,34,3,0,64,2,19,3,395,4,6,7,1
0,3,11,3,26,9,0,75,1,25,0,324,8,7,1,2
0,4,2,3,21,5,0,69,4,29,1,344,3,6,6,0
0,4,2,8,17,6,0,68,2,33,1,358,4,9,4,1
0,2,2,3,13,6,0,89,2,27,0,282,5,5,3,1
0,1,3,9,23,12,0,85,2,16,0,300,5,6,2,4
0,1,2,2,21,8,0,93,2,21,2,288,4,8,2,4
0,1,3,3,20,9,0,128,0,23,0,312,8,4,1,5
0,2,6,2,22,9,0,182,3,21,0,311,4,12,1,0
0,2,5,6,27,11,0,185,6,23,1,301,3,5,1,3
0,1,1,8,25,10,0,225,1,27,1,270,4,10,4,5
0,3,6,21,30,7,0,214,0,22,1,281,6,9,2,4
0,3,3,15,24,9,0,222,1,23,0,236,10,5,1,1
0,0,2,17,25,9,0,213,3,26,0,226,1,5,5,0
0,3,6,17,17,9,0,221,0,21,1,210,5,7,7,1
0,1,5,13,19,14,0,304,0,24,0,194,10,12,3,1
0,2,4,21,20,11,0,366,2,21,0,162,6,12,2,2
0,6,4,28,23,9,0,516,3,19,0,130,4,11,3,2
0,2,1,15,16,10,0,557,3,22,0,106,0,5,1,0
0,2,2,9,26,5,0,660,4,25,0,117,7,11,3,1
0,1,0,4,18,11,0,662,1,27,0,116,4,8,2,4
0,1,2,6,40,3,0,658,0,27,0,104,8,9,0,1
0,3,2,6,46,2,0,607,3,27,1,95,6,13,2,1
0,1,4,1,46,7,0,659,3,31,0,89,7,15,3,2
0,1,0,0,89,5,0,712,2,658,1,89,7,10,3,3
0,2,5,0,645,4,0,885,1,484,0,83,5,7,1,0
0,1,3,9,449,6,0,957,1,99,0,65,5,10,1,2
0,2,4,3,75,3,0,1078,3,193,0,61,4,8,3,21
0,2,2,1,66,9,0,1163,3,30,0,53,5,17,3,25
0,1,3,0,39,3,0,1214,2,61,1,45,4,4,4,11
0,1,1,1,8,7,0,1233,2,35,0,54,3,10,1,0
0,2,0,0,7,9,0,1310,1,15,0,42,3,13,2,0
0,4,2,0,3,5,0,1355,1,17,0,38,7,17,3,0
0,0,3,0,4,6,0,1369,4,14,0,36,7,12,5,0
0,2,0,2,2,8,0,1400,2,5,0,29,4,15,4,0
0,2,4,1,5,7,0,1322,2,0,0,30,5,13,0,0
0,6,4,0,2,7,0,1293,1,0,0,14,2,11,5,0
0,3,0,0,8,6,0,1170,2,0,0,22,6,7,56,0
0,0,3,0,16,11,0,949,2,0,0,21,4,6,56,0
0,2,2,0,9,7,0,807,4,0,0,26,2,7,0,0
0,2,2,1,9,6,0,664,3,0,0,31,3,15,0,0
0,0,6,1,7,4,0,493,17,0,0,32,5,6,0,0
0,0,3,0,8,5,0,432,23,0,0,33,2,14,0,0
0,3,2,0,14,4,0,280,35,0,0,52,6,8,0,0
0,0,4,0,19,3,0,187,2,0,0,47,3,6,0,0
0,0,2,0,9,7,0,172,0,0,0,42,3,7,0,0
0,1,1,0,2,8,0,106,5,0,0,67,7,7,0,0
0,1,0,0,1,6,0,84,5,0,0,54,2,10,0,0
0,0,3,0,3,9,0,80,8,0,0,45,6,8,0,0
0,4,3,0,1,6,0,104,3,0,0,39,3,10,0,0
0,1,3,0,0,5,0,96,3,0,0,35,4,5,0,0
0,2,1,0,2,7,0,66,4,0,0,37,4,3,0,0
0,1,0,0,2,3,0,59,1,0,0,43,2,10,0,0
0,1,1,0,2,5,0,49,2,0,0,54,5,11,0,0
0,1,2,0,4,6,0,64,1,0,0,49,2,12,0,0
0,5,2,0,1,7,0,60,0,0,0,39,5,8,0,0
0,0,1,0,2,1,0,73,0,0,0,49,4,10,0,0
0,2,0,0,2,4,0,92,1,0,0,35,5,11,0,0
0,1,0,0,1,2,0,166,3,0,0,48,6,9,0,0
0,2,3,0,2,4,0,173,0,0,0,42,3,4,0,0
0,0,1,0,1,8,0,201,1,0,0,36,3,9,0,0
0,1,0,0,0,7,0,176,0,0,0,25,6,4,0,0
0,0,1,0,1,5,0,185,0,0,0,20,32,6,0,0
0,0,1,0,2,3,0,223,0,0,0,20,53,4,0,0
0,0,3,0,1,8,0,278,0,0,0,27,32,5,0,0
0,0,1,0,0,1,0,345,0,0,1,26,12,4,0,0
0,3,2,0,1,2,0,404,0,0,0,27,9,3,0,0
0,4,0,0,1,8,0,467,0,0,0,23,7,3,0,0
0,1,0,0,1,4,0,394,0,0,0,9,5,10,0,0
0,1,1,0,1,12,0,377,0,0,0,16,7,7,0,0
0,3,1,0,1,54,0,360,0,0,0,13,7,7,0,0
0,1,1,0,1,3,0,359,0,0,0,13,5,3,0,0
0,0,0,0,1,6,0,347,0,0,0,13,4,4,0,0
0,4,0,0,0,4,0,315,0,0,0,9,22,3,0,0
0,0,1,0,0,5,0,345,0,0,0,10,21,9,0,0
0,1,1,0,2,4,0,344,0,0,0,18,10,2,0,0
0,2,0,0,1,2,0,320,0,0,0,12,5,7,0,0
0,1,0,0,0,7,0,314,0,0,0,10,3,2,0,0
0,1,0,0,1,1,0,273,0,0,0,10,1,0,0,0
0,3,2,0,0,20,0,245,0,0,0,8,1,3,0,0
0,2,1,0,0,45,0,189,0,0,0,8,3,5,0,0
0,4,0,0,2,13,0,200,0,0,0,6,1,3,0,0
0,2,0,0,0,9,0,201,0,0,0,6,4,2,0,0
0,4,0,0,1,10,0,191,0,0,0,9,3,5,0,0
0,0,0,1,1,7,0,153,0,0,0,8,2,7,0,0
0,1,0,0,1,8,0,145,0,0,0,19,3,8,0,0
0,5,0,0,1,10,0,103,0,0,0,10,7,6,0,0
0,10,0,0,1,7,0,104,0,0,0,12,6,9,0,0
0,7,0,0,1,2,0,87,0,0,0,6,6,6,0,0
0,13,0,0,0,3,0,83,0,0,0,7,12,8,0,0
0,4,0,0,3,3,0,78,0,0,0,10,9,0,0,0
0,3,0,0,0,5,0,65,0,0,0,6,0,4,0,0
0,3,0,0,1,8,0,43,0,0,0,5,1,4,0,0
0,2,0,0,0,8,0,49,0,0,0,7,1,6,0,0
0,1,0,0,1,4,0,40,0,0,0,10,0,5,0,0
0,2,1,0,0,3,0,33,0,0,0,8,1,5,0,0
0,4,0,0,2,4,0,28,0,0,0,0,0,3,0,0
0,11,0,0,1,2,0,20,0,0,0,6,0,9,0,0
0,5,0,0,1,3,0,19,0,0,0,4,1,21,0,0
0,3,0,0,1,4,0,22,0,0,0,3,0,16,0,0
0,1,0,0,1,0,0,16,0,0,0,3,1,12,0,0
0,0,0,0,1,1,0,20,0,0,0,3,0,13,0,0
0,1,1,0,0,0,0,11,0,0,0,4,0,6,0,0
0,0,0,0,0,2,0,18,0,0,0,2,0,13,0,0
0,0,0,0,1,2,0,16,0,0,0,2,2,6,0,0
0,0,1,0,0,3,0,8,0,0,0,1,2,6,0,0
0,1,0,0,0,2,0,20,0,0,0,1,0,12,0,0
0,0,0,0,0,3,0,23,0,0,0,2,0,5,0,0
0,0,0,0,0,4,0,22,0,0,0,2,2,6,0,0
0,1,0,0,1,4,0,32,0,0,0,1,0,4,0,0
0,1,0,0,1,4,0,34,0,0,0,3,0,9,0,0
0,0,1,0,0,1,0,40,0,0,0,0,0,7,0,0
0,0,0,0,0,1,0,52,0,0,0,3,0,6,0,0
0,1,0,0,0,1,0,34,0,0,0,1,0,7,0,0
0,1,1,0,0,1,0,50,0,0,0,3,0,4,0,0
0,2,0,0,0,1,0,40,0,0,0,0,1,7,0,0
0,3,0,0,0,0,0,27,0,0,0,4,0,2,0,0
0,8,0,0,1,0,0,33,0,0,0,3,0,10,0,0
0,7,0,0,1,0,0,23,0,0,0,3,0,1,0,0
0,1,0,0,1,0,0,24,0,0,0,3,0,3,0,0
0,2,0,0,0,0,0,32,0,0,0,0,0,4,0,0
0,2,0,0,0,0,0,24,0,0,0,2,0,3,0,0
0,2,0,0,0,0,0,23,0,0,0,2,0,4,0,0
0,2,0,0,1,0,0,24,0,0,0,2,0,1,0,0
0,1,0,0,0,0,0,15,0,0,0,1,0,7,0,0
0,2,0,0,0,0,0,19,0,0,0,0,0,4,0,0
0,2,0,0,0,1,0,12,0,0,0,1,0,5,0,0
0,0,0,0,1,0,0,11,0,0,0,0,0,11,0,0
0,0,0,0,0,0,0,14,0,0,0,3,0,5,0,0
0,0,0,0,0,0,0,10,0,0,0,1,0,4,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,11,0,0,0,2,0,4,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,17,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0
0,0,0,1,0,0,0,6,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,19,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
