25,25,25,45,45,45
bck,cu,al,cu,al,bck
0,0,0,0,0,0
0,0,0,0,0,0
7,7,8,10,10,8
82,100,99,90,111,91
55,63,70,51,53,50
55,65,69,46,77,59
59,62,67,65,53,44
44,84,74,65,55,39
44,65,65,50,53,55
55,70,67,51,42,50
46,63,69,58,71,50
48,75,68,58,70,57
61,63,63,62,83,54
68,96,88,70,75,51
73,85,91,78,81,76
98,98,121,94,84,87
88,113,103,91,99,75
80,96,112,77,81,63
71,86,108,80,76,78
70,88,107,83,75,64
61,85,129,87,93,57
80,98,88,87,95,64
83,93,97,94,99,64
86,95,125,90,102,76
74,110,102,102,98,84
79,118,120,102,102,92
82,118,115,110,99,77
102,117,106,82,103,93
100,128,130,112,113,95
87,130,122,112,113,83
114,130,133,115,114,86
129,160,154,118,120,108
142,184,151,129,138,126
139,208,184,196,174,129
157,243,238,239,172,187
212,271,277,230,262,217
265,336,338,280,294,229
311,345,311,307,330,293
289,361,399,325,306,268
300,358,331,323,297,291
276,373,353,323,293,252
263,308,304,299,301,257
229,329,302,281,291,233
266,288,289,250,271,238
246,258,278,253,281,243
199,238,273,276,247,216
213,262,253,219,232,234
185,238,228,218,219,202
202,249,222,214,220,193
173,221,214,190,222,190
184,221,227,213,214,175
178,207,207,203,227,190
177,210,211,222,224,200
179,227,199,214,210,192
189,218,206,201,213,205
184,234,205,220,212,155
197,223,199,251,210,196
156,207,240,243,218,188
194,230,240,222,217,176
171,235,221,228,217,204
196,230,228,210,226,194
190,224,223,206,197,187
167,224,198,204,222,159
153,236,190,212,212,198
184,232,226,243,193,199
193,220,214,204,225,174
155,232,194,208,211,203
159,188,217,218,201,179
162,205,231,204,216,174
210,196,232,197,205,164
174,221,239,208,235,180
172,235,217,212,222,141
197,195,221,184,213,160
164,193,205,213,218,168
161,199,225,235,229,185
167,208,228,194,196,176
165,209,238,226,213,180
160,200,192,191,195,155
147,202,210,183,215,182
194,230,212,225,222,164
167,222,230,177,210,155
160,191,220,202,177,155
156,186,200,195,195,178
182,206,219,185,233,172
179,201,211,188,176,152
151,217,209,205,187,164
183,231,235,190,186,143
171,210,220,186,195,137
133,205,248,177,198,144
140,232,218,178,180,169
168,201,206,218,191,156
151,225,231,166,184,165
163,194,199,203,209,152
136,218,224,185,196,156
147,186,191,200,187,131
151,184,210,181,178,153
128,186,185,158,167,142
148,188,212,168,208,136
